avatarThumbnail,cid,createTime,createTimeISO,diggCount,input,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,komentar,uid,uniqueId,videoWebUrl,timestamp,cleaned,stemmed,sentiment
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/88c8ca7bda8c33b805aabb8fe2fc516b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f7988510&x-expires=1746104400&x-signature=rmxjkQ1l7ND5wmBCKLNavq5M9Ck%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7414138291685475078,1726238599,2024-09-13T14:43:19.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,yurrr,6872130059973493761,madhien.achh,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-13T14:43:19.000Z,yurrr,yurrr,negatif
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7103552710254788635~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1386ad88&x-expires=1746104400&x-signature=RypsP1rzczBrxH0PVINkadY6wGQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7413701172642939654,1726136826,2024-09-12T10:27:06.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,🔥🔥🔥,7092167812806312962,kaniamemeskenisaf,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-12T10:27:06.000Z,,,netral
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/c10a26b794d2d98cdf1f23b7c9cb25dc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9e7b5e52&x-expires=1746104400&x-signature=dCxqRINUa8%2BJPrDMinXopzZFDCE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7413910125339788038,1726185476,2024-09-12T23:57:56.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,😂😂😂😂,6826563700385776642,patokucingturbo,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-12T23:57:56.000Z,,,netral
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7231011618644033562~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c9686038&x-expires=1746104400&x-signature=N4zWDMUOdqkdWlPnER%2FoLTeW8I8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7421154669567001350,1727872226,2024-10-02T12:30:26.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,💗💗💗,7229890649536398338,liehiemfong,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-10-02T12:30:26.000Z,,,netral
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7334351267537354753~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=77b7779f&x-expires=1746104400&x-signature=WaWsSGbOBJ9AGHeXidZ8PfALUmI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7415448199474971397,1726543588,2024-09-17T03:26:28.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,2,6786042130568020994,am1201,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-17T03:26:28.000Z,,,netral
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7188734231999152154~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=68628416&x-expires=1746104400&x-signature=3%2FlIcE2%2FxrJBOagxliMC%2BILk1Tw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7417872786432262917,1727108110,2024-09-23T16:15:10.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,🥺🥺🥺,6876707285218755586,ypuspitasari2,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-23T16:15:10.000Z,,,netral
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/7391124258526593057~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=66a378e1&x-expires=1746104400&x-signature=g%2BqKW5zcnZhBQl2sramrvBJqgvQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7414816584270136069,1726396534,2024-09-15T10:35:34.000Z,0,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,0,https://www.tiktok.com/@firufd/video/7413308230006246661,🤣🤣,6948054905534645249,lamalulog,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-15T10:35:34.000Z,,,netral
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/ea8a922c3fec36d62578126fe7f93b7b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ae9774e&x-expires=1746104400&x-signature=rkfE5Wtw7%2FpZf9yfr33b8vrzhQI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7413321887868486406,1726048519,2024-09-11T09:55:19.000Z,2393,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,20,https://www.tiktok.com/@firufd/video/7413308230006246661,semangat ngasi tau warga2 sini🥺,7061522226654446594,fellowciti,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-11T09:55:19.000Z,semangat ngasi tau warga sini,semangat ngasi tau warga sini,positif
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/af96e0c73f7b62b1f4625e49ab5a490e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bd73ab9d&x-expires=1746104400&x-signature=sGTxmYXZUH%2B6YzENLgG2e18ZPkE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7413344279555736325,1726053733,2024-09-11T11:22:13.000Z,876,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,15,https://www.tiktok.com/@firufd/video/7413308230006246661,gaakan nyampe sm mereka ngab,7066860210832671770,outof.id,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-11T11:22:13.000Z,gaakan nyampe sm mereka ngab,gaakan nyampe sm mereka ngab,negatif
https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/50f744c263e06e23d03daffcb4971578~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c9cad9c4&x-expires=1746104400&x-signature=z3OrNXD4FRmZdtIDfV59U7wthiQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,7413429445245715205,1726073559,2024-09-11T16:52:39.000Z,87,https://www.tiktok.com/@firufd/video/7413308230006246661,false,false,,1,https://www.tiktok.com/@firufd/video/7413308230006246661,sejelas ini warga tiktok masih blm sadar😢 semangat menyadarkan warga tiktok,6956760915233096709,wntr.aespa,https://www.tiktok.com/@firufd/video/7413308230006246661,2024-09-11T16:52:39.000Z,sejelas ini warga tiktok masih blm sadar semangat menyadarkan warga tiktok,jelas ini warga tiktok masih blm sadar semangat sadar warga tiktok,negatif
